117.120.2.17_19.19.19.33.out.average, 
193.136.164.6_19.19.19.29.out.average,-0.083510,very-weak
193.166.3.3_19.19.19.9.out.average,0.321030,weak
193.6.176.62_19.19.19.16.out.average,-0.093026,very-weak
194.105.226.20_19.19.19.17.out.average,-0.020622,very-weak
194.116.84.15_19.19.19.18.out.average,-0.014621,very-weak
194.2.0.36_19.19.19.10.out.average,0.163121,very-weak
195.14.50.21_19.19.19.32.out.average,0.070777,very-weak
202.28.209.254_19.19.19.40.out.average,-0.071978,very-weak
202.38.97.230_19.19.19.4.out.average,0.130081,very-weak
202.8.44.105_19.19.19.23.out.average,-0.059503,very-weak
202.90.159.172_19.19.19.25.out.average,0.011214,very-weak
203.0.178.32_19.19.19.1.out.average,0.188866,very-weak
203.178.132.80_19.19.19.19.out.average,0.037293,very-weak
212.110.161.69_19.19.19.45.out.average,-0.090193,very-weak
212.191.2.18_19.19.19.26.out.average,-0.195124,weak
212.191.2.18_19.19.19.27.out.average,-0.034012,very-weak
212.47.239.32_19.19.19.11.out.average,-0.064118,very-weak
213.166.187.92_19.19.19.36.out.average,-0.075405,very-weak
213.229.119.169_19.19.19.44.out.average,0.222973,weak
219.216.128.25_19.19.19.5.out.average,0.039485,very-weak
23.79.234.240_19.19.19.48.out.average,0.010302,very-weak
31.193.177.85_19.19.19.2.out.average,0.039753,very-weak
5.101.158.166_19.19.19.31.out.average,-0.061082,very-weak
58.28.25.150_19.19.19.24.out.average,0.003624,very-weak
62.44.96.38_19.19.19.3.out.average,0.232307,weak
78.154.171.62_19.19.19.43.out.average,-0.028790,very-weak
78.96.7.8_19.19.19.30.out.average,-0.247099,weak
95.173.191.11_19.19.19.42.out.average,-0.007819,very-weak
140.117.11.7_19.19.19.39.out.average, 
117.120.2.17_19.19.19.33.out.average,0.282523,weak
122.152.116.24_19.19.19.20.out.average,0.275007,weak
130.133.3.130_19.19.19.12.out.average,-0.108621,very-weak
130.161.131.20_19.19.19.21.out.average,0.062941,very-weak
130.206.1.5_19.19.19.35.out.average,0.281082,weak
130.225.254.116_19.19.19.8.out.average,0.032329,very-weak
130.236.254.50_19.19.19.37.out.average,-0.039348,very-weak
130.75.2.22_19.19.19.13.out.average,0.026073,very-weak
137.189.4.14_19.19.19.15.out.average,-0.124145,very-weak
140.117.11.7_19.19.19.39.out.average,0.999969,very-strong
140.128.9.18_19.19.19.38.out.average,0.276753,weak
141.217.0.199_19.19.19.47.out.average,0.296480,weak
147.102.222.211_19.19.19.14.out.average,0.071121,very-weak
149.20.37.36_19.19.19.22.out.average,-0.073771,very-weak
153.19.251.225_19.19.19.28.out.average,0.214077,weak
155.210.4.101_19.19.19.34.out.average,0.039835,very-weak
