117.120.2.17_19.19.19.33.out.average, 
130.161.131.20_19.19.19.21.out.average,0.261131,weak
130.206.1.5_19.19.19.35.out.average,0.176578,very-weak
130.225.254.116_19.19.19.8.out.average,0.195852,weak
130.236.254.50_19.19.19.37.out.average,0.306066,weak
130.75.2.22_19.19.19.13.out.average,0.109562,very-weak
137.189.4.14_19.19.19.15.out.average,0.153290,very-weak
140.117.11.7_19.19.19.39.out.average,0.999988,very-strong
140.128.9.18_19.19.19.38.out.average,0.192331,weak
141.217.0.199_19.19.19.47.out.average,0.289772,weak
147.102.222.211_19.19.19.14.out.average,0.186770,very-weak
149.20.37.36_19.19.19.22.out.average,0.169047,very-weak
153.19.251.225_19.19.19.28.out.average,0.208496,weak
155.210.4.101_19.19.19.34.out.average,0.240341,weak
162.213.3.248_19.19.19.49.out.average,0.189129,very-weak
163.1.221.67_19.19.19.46.out.average,0.185086,very-weak
163.178.174.25_19.19.19.6.out.average,0.088819,very-weak
185.87.121.190_19.19.19.41.out.average,0.174811,very-weak
192.38.78.162_19.19.19.7.out.average,0.054852,very-weak
193.136.164.6_19.19.19.29.out.average,0.349314,weak
193.166.3.3_19.19.19.9.out.average,0.207163,weak
193.6.176.62_19.19.19.16.out.average,0.314552,weak
194.105.226.20_19.19.19.17.out.average,0.338150,weak
194.116.84.15_19.19.19.18.out.average,0.339454,weak
194.2.0.36_19.19.19.10.out.average,0.168699,very-weak
195.14.50.21_19.19.19.32.out.average,0.321578,weak
202.28.209.254_19.19.19.40.out.average,0.241174,weak
202.38.97.230_19.19.19.4.out.average,0.170280,very-weak
202.8.44.105_19.19.19.23.out.average,-0.007987,very-weak
202.90.159.172_19.19.19.25.out.average,0.206595,weak
203.0.178.32_19.19.19.1.out.average,0.218736,weak
